央视频道,#genre#
CCTV1,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctv1
CCTV2,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctv2
CCTV3,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctv3
CCTV4,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctv4
CCTV5,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctv5
CCTV5+,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctv5+
CCTV6,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctv6
CCTV7,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctv7
CCTV8,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctv8
CCTV9,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctv9
CCTV10,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctv10
CCTV11,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctv11
CCTV12,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctv12
CCTV13,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctv13
CCTV14,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctv14
CCTV15,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctv15
CCTV17,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cctv17

卫视频道,#genre#
湖南卫视,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=hnws
东方卫视,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=dfws
江苏卫视,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=jsws
广东卫视,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=gdws
江西卫视,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=jxws
山东卫视,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=sxws
河南卫视,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=hnws
重庆卫视,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=cqws
陕西卫视,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=sxws1
陕西卫视,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=sxws2
海南卫视,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=hnws
大湾区卫视,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=nfws
湖北卫视,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=hbws
内蒙古卫视,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=nmgws
甘肃卫视,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=gsws
新疆卫视,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=xjws1
西藏卫视,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=xzws
宁夏卫视,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=nxws
广西卫视,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=gxws
云南卫视,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=ynws
贵州卫视,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=gzws
青海卫视,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=qhws
吉林卫视,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=jlws
东南卫视,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=dnws
海峡卫视,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=hxws

其它频道,#genre#
CHC动作电影,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=chcdy
CHC家庭影院,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=chcjt
优漫卡通频道,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=ymkt
经典动画大集合,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=dhp
嘉佳卡通,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=jjkt
高清大片,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=chcgq
经典香港电影,http://123.240a.top/%E5%92%AA%E5%92%95.php?id=xgdy
